
No compatibility mode selected!


Circuit: bgr tf - compute variation coefficients

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
xbgr.xsky130_asc_cap_mim_m3_1_2.x2.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x2.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x3.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x3.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x4.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x4.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x5.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x5.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x6.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x6.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x7.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x7.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x8.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x8.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x9.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x9.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x10.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x10.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x11.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x11.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x12.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x12.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x13.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x13.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x14.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x14.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x15.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x15.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x16.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x16.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x17.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x17.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x18.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x18.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x19.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x19.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x0.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x0.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x1.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x1.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x2.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x2.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x3.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x3.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x4.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x4.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x5.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x5.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x6.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x6.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x7.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x7.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x8.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x8.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x9.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x9.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x10.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x10.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x11.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x11.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x12.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x12.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x13.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x13.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x14.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x14.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x15.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x15.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x16.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x16.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_3.x17.a     4.28443e-26
